role,rotation,ticker,sector,campaign_id,level,event_time,side,purpose,quantity,reference_book_price_vnd,execution_price_vnd,gross_notional_vnd,commission_vnd,sell_tax_vnd,execution_friction_vnd,realized_pnl_vnd
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L3:C3,3,2025-09-10T13:00:00,SELL,risk_exit,100,31950,31900,3190000,4785,3190,5000,-62835
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L4:C1,4,2025-09-10T13:00:00,SELL,risk_exit,100,31950,31900,3190000,4785,3190,5000,17285
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L4:C2,4,2025-09-10T13:00:00,SELL,risk_exit,100,31950,31900,3190000,4785,3190,5000,17285
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L4:C3,4,2025-09-10T13:00:00,SELL,risk_exit,100,31950,31900,3190000,4785,3190,5000,17285
locked_final_test,2025-09,MBB,banks,2025-09:MBB:L2:C1,2,2025-09-16T09:16:00,SELL,grid_target,100,27100,27100,2710000,4065,2710,0,59265
locked_final_test,2025-09,MBB,banks,2025-09:MBB:L2:C2,2,2025-09-16T09:16:00,SELL,grid_target,100,27100,27100,2710000,4065,2710,0,59265
locked_final_test,2025-09,MBB,banks,2025-09:MBB:L2:C3,2,2025-09-16T09:16:00,SELL,grid_target,100,27100,27100,2710000,4065,2710,0,59265
locked_final_test,2025-09,MBB,banks,2025-09:MBB:L1:C1,1,2025-09-16T13:41:00,SELL,grid_target,100,27750,27750,2775000,4163,2775,0,69019
locked_final_test,2025-09,MBB,banks,2025-09:MBB:L1:C2,1,2025-09-16T13:41:00,SELL,grid_target,100,27750,27750,2775000,4163,2775,0,69019
locked_final_test,2025-09,MBB,banks,2025-09:MBB:L1:C3,1,2025-09-16T13:41:00,SELL,grid_target,100,27750,27750,2775000,4163,2775,0,69019
locked_final_test,2026-02,TCB,banks,2026-02:TCB:L1:C1,1,2026-02-02T11:04:00,BUY,buy,100,35000,35050,3505000,5258,0,5000,0
locked_final_test,2026-02,TCB,banks,2026-02:TCB:L1:C2,1,2026-02-02T11:04:00,BUY,buy,100,35000,35050,3505000,5258,0,5000,0
locked_final_test,2026-02,TCB,banks,2026-02:TCB:L1:C3,1,2026-02-02T11:04:00,BUY,buy,100,35000,35050,3505000,5258,0,5000,0
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L1:C1,1,2026-02-06T09:15:00,BUY,buy,100,67600,67700,6770000,10155,0,10000,0
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L1:C2,1,2026-02-06T09:15:00,BUY,buy,100,67600,67700,6770000,10155,0,10000,0
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L1:C3,1,2026-02-06T09:15:00,BUY,buy,100,67600,67700,6770000,10155,0,10000,0
locked_final_test,2026-02,TCB,banks,2026-02:TCB:L2:C1,2,2026-02-06T09:46:00,BUY,buy,100,34350,34350,3435000,5153,0,0,0
locked_final_test,2026-02,TCB,banks,2026-02:TCB:L2:C2,2,2026-02-06T09:47:00,BUY,buy,100,34350,34350,3435000,5153,0,0,0
locked_final_test,2026-02,TCB,banks,2026-02:TCB:L2:C3,2,2026-02-06T09:47:00,BUY,buy,100,34350,34350,3435000,5153,0,0,0
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L2:C1,2,2026-02-06T09:48:00,BUY,buy,100,67100,67100,6710000,10065,0,0,0
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L2:C2,2,2026-02-06T09:48:00,BUY,buy,100,67100,67100,6710000,10065,0,0,0
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L2:C3,2,2026-02-06T09:48:00,BUY,buy,100,67100,67100,6710000,10065,0,0,0
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L3:C1,3,2026-02-06T10:28:00,BUY,buy,100,65300,65400,6540000,9810,0,10000,0
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L3:C2,3,2026-02-06T10:28:00,BUY,buy,100,65300,65400,6540000,9810,0,10000,0
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L3:C3,3,2026-02-06T10:28:00,BUY,buy,100,65300,65400,6540000,9810,0,10000,0
locked_final_test,2026-02,TCB,banks,2026-02:TCB:L1:C1,1,2026-02-10T09:19:00,SELL,risk_exit,100,34800,34750,3475000,5213,3475,5000,-43946
locked_final_test,2026-02,TCB,banks,2026-02:TCB:L1:C2,1,2026-02-10T09:19:00,SELL,risk_exit,100,34800,34750,3475000,5213,3475,5000,-43946
locked_final_test,2026-02,TCB,banks,2026-02:TCB:L1:C3,1,2026-02-10T09:19:00,SELL,risk_exit,100,34800,34750,3475000,5213,3475,5000,-43946
locked_final_test,2026-02,TCB,banks,2026-02:TCB:L2:C1,2,2026-02-10T13:00:00,SELL,risk_exit,100,34750,34700,3470000,5205,3470,5000,21172
locked_final_test,2026-02,TCB,banks,2026-02:TCB:L2:C2,2,2026-02-10T13:00:00,SELL,risk_exit,100,34750,34700,3470000,5205,3470,5000,21172
locked_final_test,2026-02,TCB,banks,2026-02:TCB:L2:C3,2,2026-02-10T13:00:00,SELL,risk_exit,100,34750,34700,3470000,5205,3470,5000,21172
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L1:C1,1,2026-02-10T13:00:00,SELL,risk_exit,100,64300,64200,6420000,9630,6420,10000,-376205
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L1:C2,1,2026-02-10T13:00:00,SELL,risk_exit,100,64300,64200,6420000,9630,6420,10000,-376205
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L1:C3,1,2026-02-10T13:00:00,SELL,risk_exit,100,64300,64200,6420000,9630,6420,10000,-376205
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L2:C1,2,2026-02-10T13:00:00,SELL,risk_exit,100,64300,64200,6420000,9630,6420,10000,-316115
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L2:C2,2,2026-02-10T13:00:00,SELL,risk_exit,100,64300,64200,6420000,9630,6420,10000,-316115
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L2:C3,2,2026-02-10T13:00:00,SELL,risk_exit,100,64300,64200,6420000,9630,6420,10000,-316115
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L3:C1,3,2026-02-10T13:00:00,SELL,risk_exit,100,64300,64200,6420000,9630,6420,10000,-145860
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L3:C2,3,2026-02-10T13:00:00,SELL,risk_exit,100,64300,64200,6420000,9630,6420,10000,-145860
locked_final_test,2026-02,VCB,banks,2026-02:VCB:L3:C3,3,2026-02-10T13:00:00,SELL,risk_exit,100,64300,64200,6420000,9630,6420,10000,-145860
locked_final_test,2026-03,MBB,banks,2026-03:MBB:L1:C1,1,2026-03-02T09:16:00,BUY,buy,100,27850,27900,2790000,4185,0,5000,0
locked_final_test,2026-03,MBB,banks,2026-03:MBB:L1:C2,1,2026-03-02T09:16:00,BUY,buy,100,27850,27900,2790000,4185,0,5000,0
locked_final_test,2026-03,MBB,banks,2026-03:MBB:L1:C3,1,2026-03-02T09:16:00,BUY,buy,100,27850,27900,2790000,4185,0,5000,0
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L1:C1,1,2026-03-02T09:17:00,BUY,buy,100,35200,35250,3525000,5288,0,5000,0
